home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Burnley,West Ham,Premier League,Matchweek 13,11/25/2023,-1,0.4,0.9455779295662202,1,0.0,181.04410223414268,181.04410223414268
Brentford,Arsenal,Premier League,Matchweek 13,11/25/2023,-1,-0.5,0.997159420289855,-1,0.0,9.534454191276403,9.534454191276403
Luton Town,Crystal Palace,Premier League,Matchweek 13,11/25/2023,1,-0.7,0.9190833333333334,0,0.0,36.70239272477797,36.70239272477797
Tottenham,Aston Villa,Premier League,Matchweek 13,11/26/2023,-1,0.6,0.993828751893268,1,0.0,99.36954823663888,99.36954823663888
Everton,Manchester Utd,Premier League,Matchweek 13,11/26/2023,-3,0.2,0.9775879672286276,0,0.0,27.8237650718974,27.8237650718974
Fulham,Wolves,Premier League,Matchweek 13,11/27/2023,1,1.5,0.9480933852140078,-1,0.0,111.88670555982965,111.88670555982965
Arsenal,Wolves,Premier League,Matchweek 14,12/2/2023,1,2.1,0.992718766473379,-2,0.0,7.361002471038941,111.74480278581855
Newcastle Utd,Manchester Utd,Premier League,Matchweek 14,12/2/2023,1,1.9,0.9982602045693528,1,454.6985830850068,1687.081690010415,107.94891721671931
Nott'ham Forest,Everton,Premier League,Matchweek 14,12/2/2023,-1,0,0.9608522318802692,1,0.0,83.36654503206178,83.36654503206178
Burnley,Sheffield Utd,Premier League,Matchweek 14,12/2/2023,5,1.4,0.9526301783021378,0,0.0,42.51637537492601,42.51637537492601
Brentford,Luton Town,Premier League,Matchweek 14,12/2/2023,2,2.9,0.9898550724637681,0,0.0,27.913884428117303,27.913884428117303
West Ham,Crystal Palace,Premier League,Matchweek 14,12/3/2023,0,0.2,0.998624,-5,975.3413268010551,10.13927133640473,10.13927133640473
Manchester City,Tottenham,Premier League,Matchweek 14,12/3/2023,0,2.1,0.9719359470709054,-2,0.0,157.74431706248097,157.74431706248097
Liverpool,Fulham,Premier League,Matchweek 14,12/3/2023,1,0.9,0.8217049180327869,-3,0.0,177.6378885904164,177.6378885904164
Chelsea,Brighton,Premier League,Matchweek 14,12/3/2023,1,1,0.9467940298507462,5,0.0,1485.402811198024,43.08159634967195
Bournemouth,Aston Villa,Premier League,Matchweek 14,12/3/2023,0,1.3,0.9325833333333333,5,0.0,122.58137686689894,122.58137686689894
Wolves,Burnley,Premier League,Matchweek 15,12/5/2023,1,-0.1,0.9497347893915756,0,111.74480278581855,82.93230929458153,82.93230929458153
Luton Town,Arsenal,Premier League,Matchweek 15,12/5/2023,-1,-1.7,0.91925,0,27.913884428117303,26.617334445905875,26.617334445905875
Manchester Utd,Chelsea,Premier League,Matchweek 15,12/6/2023,1,2.6,0.9719533612391227,1,107.94891721671931,162.94470801049738,162.94470801049738
Aston Villa,Manchester City,Premier League,Matchweek 15,12/6/2023,1,1.7,0.9714118198874296,0,122.58137686689894,68.55738989703812,68.55738989703812
Brighton,Brentford,Premier League,Matchweek 15,12/6/2023,1,0,0.9714153846153846,-1,43.08159634967195,44.307604649146185,44.307604649146185
Sheffield Utd,Liverpool,Premier League,Matchweek 15,12/6/2023,-2,-0.7,0.9603693963671946,1,42.51637537492601,61.521976132624104,61.521976132624104
Crystal Palace,Bournemouth,Premier League,Matchweek 15,12/6/2023,-2,-0.8,0.9551704437250048,0,10.13927133640473,88.82675565683887,88.82675565683887
Fulham,Nott'ham Forest,Premier League,Matchweek 15,12/6/2023,5,2.2,0.9379377431906615,-1,177.6378885904164,108.32257726097232,108.32257726097232
Tottenham,West Ham,Premier League,Matchweek 15,12/7/2023,-1,-0.4,0.9856433888691953,0,157.74431706248097,5.030030026161061,5.030030026161061
Everton,Newcastle Utd,Premier League,Matchweek 15,12/7/2023,3,1.8,0.9512164753343129,0,83.36654503206178,119.2670310662883,119.2670310662883
Manchester Utd,Bournemouth,Premier League,Matchweek 16,12/9/2023,-3,-0.4,0.969576527445828,0,0.0,170.23834979903233,189.4506643025337
Aston Villa,Arsenal,Premier League,Matchweek 16,12/9/2023,1,-0.8,0.9849906191369606,-1,0.0,75.17670354973767,100.22699979051305
Wolves,Nott'ham Forest,Premier League,Matchweek 16,12/9/2023,0,-0.1,0.9841809672386895,1,0.0,111.88670555982965,48.19730378127002
Brighton,Burnley,Premier League,Matchweek 16,12/9/2023,0,2,0.9695692307692307,-1,0.0,148.10104528632243,221.62007722539133
Sheffield Utd,Brentford,Premier League,Matchweek 16,12/9/2023,1,0.2,0.8717815424133081,0,0.0,183.03575186533246,139.0392015952734
Crystal Palace,Liverpool,Premier League,Matchweek 16,12/9/2023,-1,0.5,0.9561226433060369,0,0.0,148.23899081564753,185.45501720089734
